text,label
It made me tear up unexpectedly.,sadness
Such a delightful surprise from beginning to end!,joy
The film was so boring I almost walked out.,anger
So scary I couldn’t sleep afterwards.,fear
"What a waste of time, completely overrated.",anger
It gave me nightmares... the horror was too real.,fear
It was a beautiful journey of love and laughter.,joy
An emotional rollercoaster that left me sad.,sadness
It was a beautiful journey of love and laughter.,joy
I couldn’t stop smiling the entire time.,joy
That scene where the dog dies? Totally heartbreaking.,sadness
Terrible acting and even worse plot.,anger
Such a delightful surprise from beginning to end!,joy
I couldn’t stop smiling the entire time.,joy
It was a beautiful journey of love and laughter.,joy
That scene where the dog dies? Totally heartbreaking.,sadness
So scary I couldn’t sleep afterwards.,fear
"I absolutely loved the storyline, it made me cry tears of joy.",joy
That scene where the dog dies? Totally heartbreaking.,sadness
Terrible acting and even worse plot.,anger
I had chills the entire time.,fear
Truly terrifying from start to finish.,fear
It gave me nightmares... the horror was too real.,fear
It made me tear up unexpectedly.,sadness
"I absolutely loved the storyline, it made me cry tears of joy.",joy
It was a beautiful journey of love and laughter.,joy
The ending left me feeling empty and alone.,sadness
Pure happiness watching this film.,joy
An emotional rollercoaster that left me sad.,sadness
I had chills the entire time.,fear
So scary I couldn’t sleep afterwards.,fear
So scary I couldn’t sleep afterwards.,fear
I had chills the entire time.,fear
It gave me nightmares... the horror was too real.,fear
Everything about it was irritating.,anger
I had chills the entire time.,fear
Everything about it was irritating.,anger
So scary I couldn’t sleep afterwards.,fear
Pure happiness watching this film.,joy
Truly terrifying from start to finish.,fear
The ending left me feeling empty and alone.,sadness
I couldn’t stop smiling the entire time.,joy
Such a delightful surprise from beginning to end!,joy
"I absolutely loved the storyline, it made me cry tears of joy.",joy
Truly terrifying from start to finish.,fear
I can’t believe I paid to see this.,anger
Pure happiness watching this film.,joy
Pure happiness watching this film.,joy
The ending left me feeling empty and alone.,sadness
"What a waste of time, completely overrated.",anger
"What a waste of time, completely overrated.",anger
I can’t believe I paid to see this.,anger
I covered my eyes half the movie.,fear
Everything about it was irritating.,anger
It made me tear up unexpectedly.,sadness
I had chills the entire time.,fear
I can’t believe I paid to see this.,anger
It was a beautiful journey of love and laughter.,joy
Pure happiness watching this film.,joy
So scary I couldn’t sleep afterwards.,fear
"What a waste of time, completely overrated.",anger
I couldn’t stop smiling the entire time.,joy
It gave me nightmares... the horror was too real.,fear
"I absolutely loved the storyline, it made me cry tears of joy.",joy
"What a waste of time, completely overrated.",anger
"What a waste of time, completely overrated.",anger
An emotional rollercoaster that left me sad.,sadness
"What a waste of time, completely overrated.",anger
An emotional rollercoaster that left me sad.,sadness
Truly terrifying from start to finish.,fear
An emotional rollercoaster that left me sad.,sadness
It gave me nightmares... the horror was too real.,fear
I couldn’t stop smiling the entire time.,joy
It made me tear up unexpectedly.,sadness
Truly terrifying from start to finish.,fear
I had chills the entire time.,fear
I covered my eyes half the movie.,fear
I had chills the entire time.,fear
"I absolutely loved the storyline, it made me cry tears of joy.",joy
It was a beautiful journey of love and laughter.,joy
I can’t believe I paid to see this.,anger
It made me tear up unexpectedly.,sadness
"I absolutely loved the storyline, it made me cry tears of joy.",joy
I felt such a deep sense of loss.,sadness
That scene where the dog dies? Totally heartbreaking.,sadness
An emotional rollercoaster that left me sad.,sadness
Everything about it was irritating.,anger
I felt such a deep sense of loss.,sadness
Such a delightful surprise from beginning to end!,joy
"What a waste of time, completely overrated.",anger
"I absolutely loved the storyline, it made me cry tears of joy.",joy
I felt such a deep sense of loss.,sadness
I can’t believe I paid to see this.,anger
Terrible acting and even worse plot.,anger
Pure happiness watching this film.,joy
"I absolutely loved the storyline, it made me cry tears of joy.",joy
The film was so boring I almost walked out.,anger
Truly terrifying from start to finish.,fear
"I absolutely loved the storyline, it made me cry tears of joy.",joy
Everything about it was irritating.,anger
