label,text
ham,"Hey, are we still meeting for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.
ham,"I'll call you later, just got out of a meeting."
spam,URGENT! Your mobile number has won £2000 cash. Call now!
ham,Can you send me the notes from today's lecture?
spam,You have been selected for a free cruise to the Bahamas!
ham,What's your plan for the weekend?
ham,Don't forget to bring your charger tomorrow.
spam,Act now! Limited time offer just for you!
ham,Meeting has been moved to 3 PM. Please confirm.
